,시장,회사코드,회사명,상장여부,업데이트일
0,코스닥,19594,HK이노엔,상장,20260206
1,코스닥,02830,HLB,상장,20260206
2,코스닥,09534,ISC,상장,20260206
3,코스닥,03560,KG이니시스,상장,20260206
4,코스닥,06025,NHN KCP,상장,20260206
5,코스닥,07994,가비아,상장,20260206
6,코스닥,03662,감성코퍼레이션,상장,20260206
7,코스닥,25359,네오셈,상장,20260206
8,코스닥,00739,네이처셀,상장,20260206
9,코스닥,03364,네패스,상장,20260206
10,코스닥,39627,넥스트칩,상장,20260206
11,코스닥,34821,넥스틴,상장,20260206
12,코스닥,37693,노을,상장,20260206
13,코스닥,39389,더블유씨피,상장,20260206
14,코스닥,13197,두산테스나,상장,20260206
15,코스닥,05847,리노공업,상장,20260206
16,코스닥,21520,메가스터디교육,상장,20260206
17,코스닥,08690,메디톡스,상장,20260206
18,코스닥,41797,모델솔루션,상장,20260206
19,코스닥,32399,박셀바이오,상장,20260206
20,코스닥,00673,서부T&D,상장,20260206
21,코스닥,01156,세보엠이씨,상장,20260206
22,코스닥,32838,솔트웨어,상장,20260206
23,코스닥,25772,실리콘투,상장,20260206
24,코스닥,03601,아비코전자,상장,20260206
25,코스닥,08485,아이티엠반도체,상장,20260206
26,코스닥,19617,알테오젠,상장,20260206
27,코스닥,05619,에스에프에이,상장,20260206
28,코스닥,23769,에스티팜,상장,20260206
29,코스닥,38331,에코프로에이치엔,상장,20260206
30,코스닥,25963,엠플러스,상장,20260206
31,코스닥,03920,오스코텍,상장,20260206
32,코스닥,13808,오이솔루션,상장,20260206
33,코스닥,44032,오픈놀,상장,20260206
34,코스닥,12287,와이지엔터테인먼트,상장,20260206
35,코스닥,24081,원익IPS,상장,20260206
36,코스닥,10173,위메이드맥스,상장,20260206
37,코스닥,24169,유니테크노,상장,20260206
38,코스닥,USA11,잉글우드랩,상장,20260206
39,코스닥,36139,제노코,상장,20260206
40,코스닥,08566,차바이오텍,상장,20260206
41,코스닥,07834,컴투스,상장,20260206
42,코스닥,18330,코미코,상장,20260206
43,코스닥,24171,코스메카코리아,상장,20260206
44,코스닥,20013,콜마비앤에이치,상장,20260206
45,코스닥,21415,클래시스,상장,20260206
46,코스닥,12456,태웅로직스,상장,20260206
47,코스닥,47596,토모큐브,상장,20260206
48,코스닥,06476,티씨케이,상장,20260206
49,코스닥,34057,티앤엘,상장,20260206
50,코스닥,15090,파수,상장,20260206
51,코스닥,14086,파크시스템스,상장,20260206
52,코스닥,09170,파트론,상장,20260206
53,코스닥,26375,펄어비스,상장,20260206
54,코스닥,00952,포스코엠텍,상장,20260206
55,코스닥,03379,피노,상장,20260206
56,코스닥,16609,하나머티리얼즈,상장,20260206
57,코스닥,09085,현대이지웰,상장,20260206
58,코스닥,24307,휴온스,상장,20260206
59,코스닥,08411,휴온스글로벌,상장,20260206
60,코스닥,14502,휴젤,상장,20260206
