,서식코드,서식명,대분류,구분,업데이트일
0,11212,자기 전환사채 매도 결정,수시공시,금감원,20250729
1,11214,자기 전환주식 매도 결정,수시공시,금감원,20250729
2,11301,부도발생,수시공시,금감원,20250729
3,11302,은행거래정지ㆍ금지,수시공시,금감원,20250729
4,11303,영업정지,수시공시,금감원,20250729
5,11304,회생절차개시신청,수시공시,금감원,20250729
6,11305,해산사유발생,수시공시,금감원,20250729
7,11306,유상증자결정,수시공시,금감원,20250729
8,11307,무상증자결정,수시공시,금감원,20250729
9,11308,유무상증자결정,수시공시,금감원,20250729
10,11309,감자결정,수시공시,금감원,20250729
11,11310,채권은행등의관리절차개시,수시공시,금감원,20250729
12,11312,소송등의제기,수시공시,금감원,20250729
13,11313,해외증권시장주권등상장결정,수시공시,금감원,20250729
14,11314,해외증권시장주권등상장폐지결정,수시공시,금감원,20250729
15,11315,해외증권시장주권등상장,수시공시,금감원,20250729
16,11316,해외증권시장주권등상장폐지,수시공시,금감원,20250729
17,11317,해외증권시장주권등매매거래정지등조치,수시공시,금감원,20250729
18,11318,외국법인등의외국법령등변경,수시공시,금감원,20250729
19,11319,외국법인등의주식등에대한외국에서의공개매수,수시공시,금감원,20250729
20,11320,외국법인등의주식등에대한외국에서의안정조작등,수시공시,금감원,20250729
21,11321,외국법인등의해외법규위반으로인한조치,수시공시,금감원,20250729
22,11322,외국법인등의외국거래소로부터매매거래정지ㆍ해제,수시공시,금감원,20250729
23,11323,외국법인등의외국거래소로부터상장폐지,수시공시,금감원,20250729
24,11324,전환사채권발행결정,수시공시,금감원,20250729
25,11325,신주인수권부사채권발행결정,수시공시,금감원,20250729
26,11326,교환사채권발행결정,수시공시,금감원,20250729
27,11327,채권은행등의관리절차중단,수시공시,금감원,20250729
28,11328,전환형 조건부자본증권 발행결정,수시공시,금감원,20250729
29,11329,상각형 조건부자본증권 발행결정,수시공시,금감원,20250729
30,11330,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,금감원,20250729
31,11331,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,금감원,20250729
32,11332,자기주식 취득 결정,수시공시,금감원,20250729
33,11333,자기주식 처분 결정,수시공시,금감원,20250729
34,11334,자기주식취득 신탁계약 체결 결정,수시공시,금감원,20250729
35,11335,자기주식취득 신탁계약 해지 결정,수시공시,금감원,20250729
36,11336,영업양수 결정,수시공시,금감원,20250729
37,11337,영업양도 결정,수시공시,금감원,20250729
38,11338,유형자산 양수 결정,수시공시,금감원,20250729
39,11339,유형자산 양도 결정,수시공시,금감원,20250729
40,11340,타법인 주식 및 출자증권 양수결정,수시공시,금감원,20250729
